_id,timestamp,Actor,Action,Activity,Location,Response,Correct Response,Details,Description
5dfcd78b7a72cf26846e0510,2019-12-20T14:15:39.982Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,1000,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 63, \""blue\"": 37 }""}",Input a Sample Size
5dfcd78b096899266f30ed1d,2019-12-20T14:15:39.482Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,872,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 65, \""blue\"": 35 }""}",Input a Sample Size
5dfcd7897a72cf26846e050f,2019-12-20T14:15:37.932Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,533,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 64, \""blue\"": 36 }""}",Input a Sample Size
5dfcd789096899266f30ed1c,2019-12-20T14:15:37.395Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,335,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 52, \""blue\"": 48 }""}",Input a Sample Size
5dfcd7897a72cf26846e050e,2019-12-20T14:15:37.087Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,342,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 51, \""blue\"": 49 }""}",Input a Sample Size
5dfcd7837a72cf26846e050d,2019-12-20T14:15:31.774Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,92,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 24, \""blue\"": 76 }""}",Input a Sample Size
5dfcd783096899266f30ed1b,2019-12-20T14:15:31.642Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,99,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 20, \""blue\"": 80 }""}",Input a Sample Size
5dfcd781096899266f30ed1a,2019-12-20T14:15:29.756Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,102,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 24, \""blue\"": 76 }""}",Input a Sample Size
5dfcd7817a72cf26846e050c,2019-12-20T14:15:29.162Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,92,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 16, \""blue\"": 84 }""}",Input a Sample Size
5dfcd77f096899266f30ed19,2019-12-20T14:15:27.217Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,102,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 24, \""blue\"": 76 }""}",Input a Sample Size
5dfcd77e7a72cf26846e050b,2019-12-20T14:15:26.487Z,f19e35cf-90c5-41fd-b82f-3d8e05391af0,interacted,Significance Testing Caveats,https://psu-eberly.shinyapps.io:/Significance_Testing_Caveats/#sizeForLargeCaution,96,,"{""https://shinyapps&46;science&46;psu&46;edu/details"":""{ \""red\"": 20, \""blue\"": 80 }""}",Input a Sample Size
